species,behav_cat,taxon_fr,family_fr,group_fr,name_fr,name_latin,taxon_eng,family_eng,group_eng,name_eng,name_spa
TANKER,behavShip,Activite humaine,Navire,Commerce,"Bateau petrolier, chimiquier, gazier","Tanker (oil, gaz, chemical)",Human activity,Ship,Transport,"Tanker (oil, gaz, chemical)","Barco petrolero, gas, sustancia quimica"
TAPOBO,behavShip,Activite humaine,Navire,Peche,Bateau fileyeur tapouille,Guianese Gill-netter,Human activity,Ship,Fishing activity,Guianese Gill-netter,
TRASH,behavShip,Activite humaine,Dechet,Dechet autre,"Dechet (bois, plastic,..)","Trash (plastic, wood,..)",Human activity,Trash,Other trash,"Trash (plastic, wood,..)",Macro residuos
TRAWLB,behavShip,Activite humaine,Navire,Peche,Bateau chalutier,Trawler,Human activity,Ship,Fishing activity,Trawler,Barco arrastrero
WOODTR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet bois (non naturel),Unnatural wood,Human activity,Trash,Other trash,Unnatural wood,Basura madera
RUBPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet caoutchouc,Rubber trash,Human activity,Trash,Other trash,Rubber trash,Basura goma
METATR,behavShip,Activite humaine,Dechet,Dechet autre,Dechet metal,Metal trash,Human activity,Trash,Other trash,Metal trash,Basura de metal
BAGPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet sac platique,Plastic bag,Human activity,Trash,Other trash,Plastic bag,Bolsas de plastico
BOTPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet bouteille plastique,Bottle plastic,Human activity,Trash,Other trash,Bottle plastic,Botellas de plastico
CLOPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet vetement,Clothes with plastic,Human activity,Trash,Other trash,Clothes with plastic,Ropa con plastico
BOXPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet caisse plastique,Plastic box,Human activity,Trash,Other trash,Plastic box,Cajas en plastico
SMAPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet residu plastique,Small plastic,Human activity,Trash,Other trash,Small plastic,Pequeno trozos de plastico
BIGPLA,behavShip,Activite humaine,Dechet,Dechet autre,Dechet bache plastique,Large plastic unity,Human activity,Trash,Other trash,Large plastic unity,Grande trozos de plastico
SMAPOL,behavShip,Activite humaine,Dechet,Dechet autre,Dechet morceau polystyrene,Small foamed polystyrene,Human activity,Trash,Other trash,Small foamed polystyrene,Pequeno trozos de corcho
BIGPOL,behavShip,Activite humaine,Dechet,Dechet autre,Dechet grand polystyrene,Big foamed polystyrene,Human activity,Trash,Other trash,Big foamed polystyrene,Grande trozos de corcho
PALWOO,behavShip,Activite humaine,Dechet,Dechet autre,Dechet Palette,Wodden pallet,Human activity,Trash,Other trash,Wodden pallet,Palao
BOXWOO,behavShip,Activite humaine,Dechet,Dechet autre,Dechet cagette,Wooden crates for packaging,Human activity,Trash,Other trash,Wooden crates for packaging,Caja en madera
TABWOO,behavShip,Activite humaine,Dechet,Dechet autre,Dechet bois usine,Processed wooden items,Human activity,Trash,Other trash,Processed wooden items,Madera procesada
CANMET,behavShip,Activite humaine,Dechet,Dechet autre,Dechet boite de conserve ou canette,Metal drinks of food cans,Human activity,Trash,Other trash,Metal drinks of food cans,Lata de bebida o comida
DRUMET,behavShip,Activite humaine,Dechet,Dechet autre,Dechet bidon metal,Metal drums or barrels,Human activity,Trash,Other trash,Metal drums or barrels,Bidones de metal
NETFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet filet de peche,Fishing net trash,Human activity,Trash,Fish trash,Fishing net trash,Redes de pesca
ROPFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet bout et corde de peche,Fishing rope,Human activity,Trash,Fish trash,Fishing rope,Cabos
BOXFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet caisse de peche solide,Fish boxes rigid,Human activity,Trash,Fish trash,Fish boxes rigid,Cajas de pescado rigida
POLFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet caisse de peche polystyrene,Fish boxes polystyrene,Human activity,Trash,Fish trash,Fish boxes polystyrene,Cajas de pescado de corcho
LINFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet fil de peche,Plastic fishing line,Human activity,Trash,Fish trash,Plastic fishing line,Sedal de pesca
BUOFIS,behavShip,Activite humaine,Dechet,Dechet de peche,Dechet bouee,Plastic float or buoy,Human activity,Trash,Fish trash,Plastic float or buoy,Boya de pesca
FRONT,,Autre,Other,Parametres hydrologiques,Front de maree,Tidal front,Other,Other,Hydrologic parameters,Tidal front,Frente marea
NONE,,Autre,Other,Other,Pas de suiveurs,No scavengers,Other,Other,Other,No scavengers,
OTHER,,Autre,Other,Other,Autre observation,Other sighting,Other,Other,Other,Other sighting,
PLANCT,,Autre,Plancton,Plancton,Plancton,Plankton sp.,Other,Plankton,Plankton,Plankton,
SLICKS,,Autre,Other,Parametres hydrologiques,Nappe de convergence,Slick fields,Other,Other,Hydrologic parameters,Slick fields,Capa de convergencia
AETNAR,behavMam,Autre faune marine,Elasmobranche,Raie,Raie leopard,Aetobatus narinari,Other Marine Wildlife,Elasmobranch,Ray,Spotted Eagle Ray,
ALOVUL,behavMam,Autre faune marine,Elasmobranche,Requin,Requin renard commun,Alopias vulpinus,Other Marine Wildlife,Elasmobranch,Shark,Fox shark,Pez zorro
BALCAR,behavMam,Autre faune marine,Poisson,Petit poisson,Baliste ind.,Balistes sp.,Other Marine Wildlife,Fish,Small fish,Gray triggerfish sp.,Pez ballesta
CARCAR,behavMam,Autre faune marine,Elasmobranche,Requin,Grand requin blanc,Carcharodon carcharias,Other Marine Wildlife,Elasmobranch,Shark,Great white shark,
CARLON,behavMam,Autre faune marine,Elasmobranche,Requin,Requin oceanique,Carcharhinus longimanus,Other Marine Wildlife,Elasmobranch,Shark,Oceanic Whitetip Shark,
CETMAX,behavMam,Autre faune marine,Elasmobranche,Requin,Requin pelerin,Cetorhinus maximus,Other Marine Wildlife,Elasmobranch,Shark,Basking shark,Tiburon peregrino
CHESPP,behavMam,Autre faune marine,Tortue,Chelonide,Tortue a ecailles ind.,Cheloniidae sp.,Other Marine Wildlife,Turtle,Cheloniid,Hard-shelled seaturtle sp.,Quelonia
CARETT,behavMam,Autre faune marine,Tortue,Chelonide,Tortue caouanne,Caretta caretta,Other Marine Wildlife,Turtle,Cheloniid,Loggerhead turtle,Tortuga boba
CHISPP,behavMam,Autre faune marine,Other fauna,Chiroptera,Chauve-souris ind.,Chiroptera sp.,Other Marine Wildlife,Bat,Chiroptera,Bat sp.,muercielago
CORHIP,behavMam,Autre faune marine,Poisson,Grand poisson,Daurade coryphene,Coryphaena hippurus,Other Marine Wildlife,Fish,Large fish,Common dolphinfish,
DASSPP,behavMam,Autre faune marine,Elasmobranche,Raie,Raie pastenague ind.,Dasyatis sp.,Other Marine Wildlife,Elasmobranch,Ray,Stingray sp.,
DERCOR,behavMam,Autre faune marine,Tortue,Dermochelyide,Tortue luth,Dermochelys coriacea,Other Marine Wildlife,Turtle,Dermochelyid,Leatherback turtle,Tortuga Laud
EXOCET,behavMam,Autre faune marine,Poisson,Petit poisson,Exocet ind.,Exocetus sp.,Other Marine Wildlife,Fish,Small fish,Flying fish sp.,Exoceti spp
FISH,behavMam,Autre faune marine,Poisson,Grand poisson,Poisson ind.,Osteichyens sp.,Other Marine Wildlife,Fish,Large fish,Fish sp.,
GALCUV,behavMam,Autre faune marine,Elasmobranche,Requin,Requin tigre,Galeocerdo cuvier,Other Marine Wildlife,Elasmobranch,Shark,Tiger shark,
JELLY,behavMam,Autre faune marine,Other fauna,Cnidaria,Meduse ind.,Cnidaria sp.,Other Marine Wildlife,Cnidaria,Cnidaria,Jelly fish sp.,
LAMNAS,behavMam,Autre faune marine,Elasmobranche,Requin,Requin-taupe commun,Lamna nasus,Other Marine Wildlife,Elasmobranch,Shark,Porbeagle,
LARFIS,behavMam,Autre faune marine,Poisson,Grand poisson,Grand poisson ind.,Osteichyens sp.,Other Marine Wildlife,Fish,Large fish,Large Fish sp.,Pez spp
MANBIR,behavMam,Autre faune marine,Elasmobranche,Raie,Raie manta,Manta birostris,Other Marine Wildlife,Elasmobranch,Ray,Manta ray,
MOBMOB,behavMam,Autre faune marine,Elasmobranche,Raie,Raie diable de mer,Mobula mobular,Other Marine Wildlife,Elasmobranch,Ray,Giant devil ray,
MOBSPP,behavMam,Autre faune marine,Elasmobranche,Raie,Diable de mer ind.,Mobula sp.,Other Marine Wildlife,Elasmobranch,Ray,Devil ray sp.,
MOLMOL,behavMam,Autre faune marine,Poisson,Grand poisson,Poisson lune,Mola mola,Other Marine Wildlife,Fish,Large fish,Sunfish,Pez luna
ODOFER,behavMam,Autre faune marine,Elasmobranche,Requin,Requin feroce,Odontaspis ferox,Other Marine Wildlife,Elasmobranch,Shark,Smalltooth sand tiger,Tiburon feroce
PRIGLA,behavMam,Autre faune marine,Elasmobranche,Requin,Requin peau-bleue,Prionace glauca,Other Marine Wildlife,Elasmobranch,Shark,Blue shark,Tiburon azul
RAYSPP,behavMam,Autre faune marine,Elasmobranche,Raie,Raie ind.,Rajimorphii sp.,Other Marine Wildlife,Elasmobranch,Ray,Ray sp.,
RHITYP,behavMam,Autre faune marine,Elasmobranche,Requin,Requin baleine,Rhincodon typus,Other Marine Wildlife,Elasmobranch,Shark,Whale shark,
SHARK,behavMam,Autre faune marine,Elasmobranche,Requin,Requin ind.,Selachimorpha sp.,Other Marine Wildlife,Elasmobranch,Shark,Shark sp.,Tiburon spp
SMAFIS,behavMam,Autre faune marine,Poisson,Petit poisson,Petit poisson ind.,Osteichyens sp.,Other Marine Wildlife,Fish,Small fish,Small Fish sp.,Pez spp
SPHSPP,behavMam,Autre faune marine,Elasmobranche,Requin,Requin marteau ind.,Sphyrna sp.,Other Marine Wildlife,Elasmobranch,Shark,Hammerhead shark sp.,
THUALA,behavMam,Autre faune marine,Poisson,Grand poisson,Thon blanc Germon,Thunnus alalunga,Other Marine Wildlife,Fish,Large fish,Albacore tuna,Atun blanco
THUSPP,behavMam,Autre faune marine,Poisson,Grand poisson,Thon / Bonite ind.,Thunnus / Sarda sp.,Other Marine Wildlife,Fish,Large fish,Tuna / Bonito sp.,Tunido spp
THUTHY,behavMam,Autre faune marine,Poisson,Grand poisson,Thon rouge atlantique,Thunnus thynnus,Other Marine Wildlife,Fish,Large fish,Atlantic bluefin tuna,Atun aleta azul
TURTLE,behavMam,Autre faune marine,Tortue,Tortue ind.,Tortue ind.,Cheloniidae / Dermochelyidae sp.,Other Marine Wildlife,Turtle,Turtle sp.,Turtle sp.,
XIPGLA,behavMam,Autre faune marine,Poisson,Grand poisson,Espadon / Marlin / Voilier ind.,Xiphiidae / Istiophoridae sp.,Other Marine Wildlife,Fish,Large fish,"Swordfish, sailfish, marlin sp.",
BALACU,behavMam,Mammifere marin,Balaenopteridae,Petit baleinopteride,Petit rorqual,Balaenoptera acutorostrata,Marine mammal,Baleinopteridae,Small Baleinopteriid,Minke whale,Rorcual aliblanco
BALBON,behavMam,Mammifere marin,Balaenopteridae,Petit baleinopteride,Petit rorqual antarctique,Balaenoptera bonaerensis,Marine mammal,Baleinopteridae,Small Baleinopteriid,Antarctic minke whale,
BALBOR,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Rorqual boreal,Balaenoptera borealis,Marine mammal,Baleinopteridae,Large Baleinopteriid,Sei whale,
BALEDE,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Rorqual de Bryde,Balaenoptera edeni,Marine mammal,Baleinopteridae,Large Baleinopteriid,Bryde's whale,
BALMUS,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Rorqual bleu,Balaenoptera musculus,Marine mammal,Baleinopteridae,Large Baleinopteriid,Blue whale,
BALOMU,behavMam,Mammifere marin,Balaenopteridae,Petit baleinopteride,Rorqual d'Omura,Balaenoptera omurai,Marine mammal,Baleinopteridae,Small Baleinopteriid,Omura's whale,
BALPHY,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Rorqual commun,Balaenoptera physalus,Marine mammal,Baleinopteridae,Large Baleinopteriid,Fin whale,Rorcual comun
BALSPP,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Rorqual ind.,Balaenopteridae sp.,Marine mammal,Baleinopteridae,Large Baleinopteriid,Balaenopterid sp.,Rorcual spp
BERARN,behavMam,Mammifere marin,Ziphiidae,Autre baleine a bec,Berardie d'Arnoux,Berardius arnuxii,Marine mammal,Ziphiidae,Other beaked whale,Arnoux's Beaked Whale,
CETSPP,behavMam,Mammifere marin,Cetacea,Cetace ind.,Cetace ind.,Cetacea sp.,Marine mammal,Cetacea,Cetacean unidentif.,Cetacea sp.,Cetaceo spp
DELDEL,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin commun,Delphinus delphis,Marine mammal,Delphininae,Small Delphininae,Common dolphin,Delfin comun
DELSPP,behavMam,Mammifere marin,Delphinidae,Delphinide ind.,Delphinide ind.,Delphinidae sp.,Marine mammal,Delphinidae,Delphiniid,Delphinid sp.,Delfinido spp
DUGDUG,behavMam,Mammifere marin,Sirenien,Dugongidae,Dugong,Dugong dugon,Marine mammal,Sirenian,Dugongiid,Dugong,
EUBAUS,behavMam,Mammifere marin,Balaenidae,Balaenidae,Baleine franche australe,Eubalaena australis,Marine mammal,Balaenidae ,Balaeniid,Southern right whale,
FERATT,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Orque pygmee,Feresa attenuata,Marine mammal,Globicephalinae,Small globicephalinae,Pygmy killer whale,
GLOMAC,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Globicephale tropical,Globicephala macrorhynchus,Marine mammal,Globicephalinae,Large globicephalinae,Short-finned pilot whale,
GLOMEL,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Globicephale noir,Globicephala melas,Marine mammal,Globicephalinae,Large globicephalinae,Long-finned pilot whale,Calderon comun
GLOPSE,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Globicephale / Pseudorque,Globicephala / Pseudorca sp.,Marine mammal,Globicephalinae,Large globicephalinae,pilot whale / False killer whale,
GLOSPP,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Globicephale noir / tropical,Globicephala sp.,Marine mammal,Globicephalinae,Large globicephalinae,Short / Long finned pilot whale,
GRAGRI,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Dauphin de Risso,Grampus griseus,Marine mammal,Globicephalinae,Small globicephalinae,Risso's dolphin,Delfin risso
HALGRY,behavMam,Mammifere marin,Phocidae,Phoque,Phoque gris,Halichoerus grypus,Marine mammal,Phocidae,Seal,Grey seal (Atlantic seal),
HYPAMP,behavMam,Mammifere marin,Ziphiidae,Autre baleine a bec,Hyperoodon boreal,Hyperoodon ampullatus,Marine mammal,Ziphiidae,Other beaked whale,Northern bottlenose whale,
HYPPLA,behavMam,Mammifere marin,Ziphiidae,Autre baleine a bec,Hyperoodon austral,Hyperoodon planifrons,Marine mammal,Ziphiidae,Other beaked whale,Southern Bottlenose Whale,
INDPAC,behavMam,Mammifere marin,Ziphiidae,Autre baleine a bec,Indopacete de Longman,Indopacetus pacificus,Marine mammal,Ziphiidae,Other beaked whale,Longman's beaked whale,
KOGBRE,behavMam,Mammifere marin,Cachalot,Kogiidae,Cachalot pygmee,Kogia breviceps,Marine mammal,Cachalot,Kogiid,Pygmy sperm whale,
KOGSIM,behavMam,Mammifere marin,Cachalot,Kogiidae,Cachalot nain,Kogia sima,Marine mammal,Cachalot,Kogiid,Dwarf sperm whale,
KOGSPP,behavMam,Mammifere marin,Cachalot,Kogiide,Cachalot pygmee / nain,Kogia sp.,Marine mammal,Cachalot,Kogiid,Pygmy / Dwarf sperm whale,
LAGACU,behavMam,Mammifere marin,Delphininae,Grand delphinine,Lagenorhynque a flancs blancs,Lagenorhynchus acutus,Marine mammal,Delphininae,Large delphininae,Atlantic white-sided dolphin,
LAGALB,behavMam,Mammifere marin,Delphininae,Grand delphinine,Lagenorhynque a bec blanc,Lagenorhynchus albirostris,Marine mammal,Delphininae,Large delphininae,White-beaked dolphin,
LAGCRU,behavMam,Mammifere marin,Delphininae,Grand delphinine,Lagenorhynque sablier,Lagenorhynchus cruciger,Marine mammal,Delphininae,Large delphininae,Hourglass dolphin,
LAGHOS,behavMam,Mammifere marin,Delphininae,Grand delphinine,Dauphin de Fraser,Lagenodelphis hosei,Marine mammal,Delphininae,Large delphininae,Fraser's dolphin,
LAGOBS,behavMam,Mammifere marin,Delphininae,Grand delphinine,Lagenorhynque obscur,Lagenorhynchus obscurus,Marine mammal,Delphininae,Large delphininae,Dusky dolphin,
LARCET,behavMam,Mammifere marin,Cetacea,Cetace ind.,Grand cetace ind.,Large Cetacea sp.,Marine mammal,Cetacea,Cetacean unidentif,Large Cetacea sp.,Rorcual / Cachalote / Ballena
LARDEL,behavMam,Mammifere marin,Delphininae,Grand delphinine,Grand delphinine,Large delphininae sp.,Marine mammal,Delphininae,Large delphininae,Large delphininae sp.,Grande Delfin spp
LISPER,behavMam,Mammifere marin,Delphininae,Grand delphinine,Dauphin de Peron,Lissodelphis peronii,Marine mammal,Delphininae,Large delphininae,Southern right whale doplhin,
MEDCET,behavMam,Mammifere marin,Cetacea,Cetace ind.,Moyen cetace ind.,Medium Cetacea sp.,Marine mammal,Cetacea,Cetacean unidentif.,Medium Cetacea sp.,Ballena de pico / R. aliblanco / Calderon / Orca
MEGNOV,behavMam,Mammifere marin,Balaenopteridae,Grand baleinopteride,Baleine a bosse,Megaptera novaeangliae,Marine mammal,Baleinopteridae,Large Baleinopteriid,Humpback Whale,Ballena jorobada
MESBID,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon de Sowerby,Mesoplodon bidens,Marine mammal,Ziphiidae,Mesoplodon,Sowerby's beaked whale,Ballena de pico de Sowerby
MESDEN,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon de Blainville,Mesoplodon densirostris,Marine mammal,Ziphiidae,Mesoplodon,Blainville's beaked whale,Ballena de pico de Blainville
MESEUR,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon de Gervais,Mesoplodon europaeus,Marine mammal,Ziphiidae,Mesoplodon,Gervais' beaked whale,
MESGIN,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon japonais,Mesoplodon ginkgodens,Marine mammal,Ziphiidae,Mesoplodon,Ginkgo-toothed beaked whale,
MESGRA,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon de Gray,Mesoplodon grayi,Marine mammal,Ziphiidae,Mesoplodon,Gray's beaked whale,
MESMIR,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon de True,Mesoplodon mirus,Marine mammal,Ziphiidae,Mesoplodon,True's beaked whale,
MESSPP,behavMam,Mammifere marin,Ziphiidae,Mesoplodon,Mesoplodon ind.,Mesoplodon sp.,Marine mammal,Ziphiidae,Mesoplodon,Mesoplodont whales sp.,Ballena de pico spp
MONMON,behavMam,Mammifere marin,Phocidae,Phoque,Phoque moine,Monachus monachus,Marine mammal,Phocidae,Seal,Mediterranean Monk Seal,
ORCORC,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Orque,Orcinus orca,Marine mammal,Globicephalinae,Large globicephalinae,Killer whale,Orca
PEPELE,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Peponocephale,Peponocephala electra,Marine mammal,Globicephalinae,Small globicephalinae,Melon-headed whale,
PEPFER,behavMam,Mammifere marin,Globicephalinae,Petit globicephaline,Peponocephale / orque pygmee,Peponocephala / Feresa sp.,Marine mammal,Globicephalinae,Small globicephalinae,Melon-headed / Pygmy killer whale,
PHOCID,behavMam,Mammifere marin,Phocidae,Phoque,Phoque ind.,Phocidae sp.,Marine mammal,Phocidae,Seal,Seal sp.,foca spp
PHOPHO,behavMam,Mammifere marin,Phocoenidae,Phocoenidae,Marsouin commun,Phocoena phocoena,Marine mammal,Phocoenidae,Phocoeniid,Harbour porpoise,Marsopa comun
PHOVIT,behavMam,Mammifere marin,Phocidae,Phoque,Phoque veau-marin,Phoca vitulina,Marine mammal,Phocidae,Seal,Harbor seal (Common seal),foca comun
PHYMAC,behavMam,Mammifere marin,Cachalot,Physeteridae,Cachalot macrocephale,Physeter macrocephalus,Marine mammal,Cachalot,Physeteriid,Sperm whale,Cachalote
PSECRA,behavMam,Mammifere marin,Globicephalinae,Grand globicephaline,Pseudorque,Pseudorca crassidens,Marine mammal,Globicephalinae,Large globicephalinae,False killer whale,Orca bastarda
SMACET,behavMam,Mammifere marin,Cetacea,Cetace ind.,Petit cetace ind.,Small Cetacea sp.,Marine mammal,Cetacea,Cetacean unidentif.,Small Cetacea sp.,Delfin / marsopa / Cachalote pigmeo
SMADEL,behavMam,Mammifere marin,Delphininae,Petit delphinine,Petit delphinine ind.,Small delphininae sp.,Marine mammal,Delphininae,Small delphininae,Small delphininae sp.,Pequenito Delfin spp
SOTGUI,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin de Guyane,Sotalia guianensis,Marine mammal,Delphininae,Small delphininae,Tucuxi,
SOUCHI,behavMam,Mammifere marin,Delphininae,Grand delphinine,Dauphin a bosse,Sousa chinensis,Marine mammal,Delphininae,Large delphininae,Indo-Pacific hump-backed dolphin,
STEATT,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin tachete pantropical,Stenella attenuata,Marine mammal,Delphininae,Small delphininae,Pantropical spotted dolphin,
STEBRE,behavMam,Mammifere marin,Delphininae,Grand delphinine,Steno,Steno bredanensis,Marine mammal,Delphininae,Large delphininae,Rough-toothed dolphin,
STECLY,behavMam,Mammifere marin,Delphininae,Petit delphinine,Dauphin clymene,Stenella clymene,Marine mammal,Delphininae,Small delphininae,Clymene dolphin (Short-snouted spinner dolphin),
